,,romaji,english,category,hiragana,katakana,kanji,source
1,,hayai,early,adjective,はやい,,,intensive1.6
2,,yasashii,kind/easy,adjective,やさしい,,,intensive1.6
3,,kibishii,strict,adjective,きびしい,,,intensive1.6
4,,tanoshii,enjoyable,adjective,たにしい,,,intensive1.6
5,,abunai,dangerous,adjective,あぶない,,,intensive1.6
6,,urusai,noisy,adjective,うるさい,,,intensive1.6
7,,iroiro,various,adjective,いろいろ,,,intensive1.6
8,,rippona,splendid,adjective,りっぽな,,,intensive1.6
9,,yuumei(na),famous,adjective,ゆうめいな,,,intensive1.6
10,,nagai,long,adjective,ながい,,,intensive1.6
11,,mijikai,short,adjective,みじかい,,,intensive1.6
12,,chikai,near,adjective,ちかい,,,intensive1.6
13,,tooi,far,adjective,とおい,,,intensive1.6
14,,tsuyoi,strong,adjective,つよい,,,intensive1.6
15,,yooi,weak,adjective,よおい,,,intensive1.6
16,,kantan(na),easy,adjective,かんたん（な）,,,intensive1.6
17,,muzukashii,difficult,adjective,むずかしい,,,intensive1.6
18,,ookii,big,adjective,おおきい,,大,intensive1.6
19,,chisa,small,adjective,ちさ,,,intensive1.6
20,,omoi,heavy,adjective,おもい,,,intensive1.6
21,,karui,light,adjective,かるい,,,intensive1.6
22,,omoshiroi,interesting,adjective,おもしろい,,,intensive1.6
23,,tsumaranai,boring,adjective,つまらない,,,intensive1.6
24,,hiroi,wide,adjective,ひろい,,,intensive1.6
25,,semai,narrow,adjective,せまい,,,intensive1.6
26,,kirei(na),clean,adjective,きれい（な）,,,intensive1.6
27,,kitanai,dirty,adjective,きたない,,,intensive1.6
28,,atarashii,new,adjective,あたらしい,,新,intensive1.6
29,,furoi,old (things),adjective,ふろい,,,intensive1.6
30,,akarui.,bright,adjective,あかるい,,,intensive1.6
31,,kurai,dark,adjective,くらい,,,intensive1.6
32,,shizuka(na),silent,adjective,しずか（な）,,,intensive1.6
33,,nigiyaka(na),lively,adjective,にぎやか,,,intensive1.6
34,,takai,expensive,adjective,たかい,,高,intensive1.6
35,,yasui,cheap,adjective,やすい,,,intensive1.6
36,,takai,high,adjective,たかい,,高,intensive1.6
37,,hikui,low,adjective, ひくい,,低,intensive1.6
38,,hima(na),free,adjective,ひま（な）,,,intensive1.6
39,,benri(na),convenient,adjective,べんり（な）,,,intensive1.6
40,,fuben(na),inconvenient,adjective,ふべん（な）,,,intensive1.6
41,,ii.yoi,good,adjective,いい・よい,,,intensive1.6
42,,warui,bad,adjective,わるい,,,intensive1.6
43,,atsui,hot (things),adjective,あつい,,,intensive1.6
44,,tsumetai,cold (things),adjective,つめたい,,,intensive1.6
45,,atsui,hot (weather),adjective,あつい,,,intensive1.6
46,,samui,cold (weather),adjective,さむい,,,intensive1.6
47,,atsui,thick,adjective,あつい,,,intensive1.6
48,,usui,thin,adjective,うすい,,,intensive1.6
49,,hayai,early,adjective,はやい,,,intensive1.7
50,,majimena,serious,adjective,まじめな,,,intensive1.7
51,,nemui,sleepy,adjective,なむい,,,intensive1.7
52,,osoi,late,adjective,おそい,,,intensive1.7
53,,genki(na),fine/vigorous,adjective,げんき（な）,,,intensive1.7
54,,daijoubu,"fine, okay",adjective,だいじょうぶ,,,intensive1.10
55,,(o)genki,(Hon) fine,adjective,（お）げんき,,,intensive1.10
56,,urayamashii,envious,adjective,うらやましい,,,intensive1.10
57,,futoi,fat,adjective,ふとい,,,intensive1.16
58,,fukuzatsu,complicated,adjective,ふくざつ,,,intensive1.17
59,,iyana,dislike,adjective,いやな,,,intensive1.19
60,,suppai,sour,adjective,すっぱい,,,intensive1.19
61,,wakai,young,adjective,わかい,,若,intensive1.19
62,,totemo,very,adverb,とても,,,intensive1.6
63,,chotto,little,adverb,ちょっと,,,intensive1.6
64,,taihen,very,adverb,たいへん,,,intensive1.6
65,,amari,not very,adverb,あまり,,,intensive1.6
66,,tokidoki,sometimes,adverb,ときどき,,,intensive1.7
67,,zenzen,never,adverb,ぜんぜん,,,intensive1.7
68,,itsumo,always,adverb,いつも,,,intensive1.7
69,,mada,not yet,adverb,まだ,,,intensive1.9
70,,mou,already,adverb,もう,,,intensive1.9
71,,nanika,something,adverb,なにか,,,intensive1.11
72,,motto,more,adverb,もっと,,,intensive1.11
73,,yoku,often,adverb,よく,,,intensive1.11
74,,dareka,anyone,adverb,だれか,,,intensive1.12
75,,nanika,anything,adverb,なにな,,,intensive1.12
76,,hakkou,splendid,adverb,はっこう,,,intensive1.12
77,,daremo,no one,adverb,だれも,,,intensive1.12
78,,nanimo,nothing,adverb,なにも,,,intensive1.12
79,,dokokae,somewhere,adverb,どこかえ,,,intensive1.13
80,,dokoemo,nowhere,adverb,どこえも,,,intensive1.13
81,,demo,but/ however,adverb,でも,,,intensive1.14
